Source;Target;Label;Type
30224;33621;Big Daddy;Undirected
30224;31192;Big Daddy;Undirected
30224;30821;Big Daddy;Undirected
33544;35916;Big Daddy;Undirected
33544;32423;Big Daddy;Undirected
33544;38934;Big Daddy;Undirected
33544;47597;Big Daddy;Undirected
33544;47561;Big Daddy;Undirected
33544;34298;Big Daddy;Undirected
33544;33621;Big Daddy;Undirected
33544;31192;Big Daddy;Undirected
33544;30821;Big Daddy;Undirected
35916;32423;Big Daddy;Undirected
35916;38934;Big Daddy;Undirected
35916;47597;Big Daddy;Undirected
35916;47561;Big Daddy;Undirected
35916;34298;Big Daddy;Undirected
35916;33621;Big Daddy;Undirected
35916;31192;Big Daddy;Undirected
35916;30821;Big Daddy;Undirected
32423;38934;Big Daddy;Undirected
32423;47597;Big Daddy;Undirected
32423;47561;Big Daddy;Undirected
32423;34298;Big Daddy;Undirected
32423;33621;Big Daddy;Undirected
32423;31192;Big Daddy;Undirected
32423;30821;Big Daddy;Undirected
38934;47597;Big Daddy;Undirected
38934;47561;Big Daddy;Undirected
38934;34298;Big Daddy;Undirected
38934;33621;Big Daddy;Undirected
38934;31192;Big Daddy;Undirected
38934;30821;Big Daddy;Undirected
47597;47561;Big Daddy;Undirected
47597;34298;Big Daddy;Undirected
47597;33621;Big Daddy;Undirected
47597;31192;Big Daddy;Undirected
47597;30821;Big Daddy;Undirected
47561;34298;Big Daddy;Undirected
47561;33621;Big Daddy;Undirected
47561;31192;Big Daddy;Undirected
47561;30821;Big Daddy;Undirected
34298;33621;Big Daddy;Undirected
34298;31192;Big Daddy;Undirected
34298;30821;Big Daddy;Undirected
33621;31192;Big Daddy;Undirected
33621;30821;Big Daddy;Undirected
31192;30821;Big Daddy;Undirected
30126;34902;Captain Blood;Undirected
30126;29988;Captain Blood;Undirected
30126;30006;Captain Blood;Undirected
34902;29988;Captain Blood;Undirected
34902;30006;Captain Blood;Undirected
29988;30006;Captain Blood;Undirected
32366;30562;Ice Station Zebra;Undirected
32366;32041;Ice Station Zebra;Undirected
32366;30563;Ice Station Zebra;Undirected
30562;32041;Ice Station Zebra;Undirected
30562;30563;Ice Station Zebra;Undirected
32041;30563;Ice Station Zebra;Undirected
29741;35193;Sylvia;Undirected
29741;38410;Sylvia;Undirected
29741;36031;Sylvia;Undirected
29741;30607;Sylvia;Undirected
29741;29391;Sylvia;Undirected
35193;38410;Sylvia;Undirected
35193;36031;Sylvia;Undirected
35193;30607;Sylvia;Undirected
35193;29391;Sylvia;Undirected
38410;36031;Sylvia;Undirected
38410;30607;Sylvia;Undirected
38410;29391;Sylvia;Undirected
36031;30607;Sylvia;Undirected
36031;29391;Sylvia;Undirected
30607;29391;Sylvia;Undirected
34027;6531;Slacker;Undirected
34027;6532;Slacker;Undirected
34027;6530;Slacker;Undirected
34027;6534;Slacker;Undirected
34027;6533;Slacker;Undirected
6531;6532;Slacker;Undirected
6531;6530;Slacker;Undirected
6531;6534;Slacker;Undirected
6531;6533;Slacker;Undirected
6532;6530;Slacker;Undirected
6532;6534;Slacker;Undirected
6532;6533;Slacker;Undirected
6530;6534;Slacker;Undirected
6530;6533;Slacker;Undirected
6534;6533;Slacker;Undirected
42825;37414;Dazed and Confused;Undirected
42825;45171;Dazed and Confused;Undirected
42825;37831;Dazed and Confused;Undirected
42825;39831;Dazed and Confused;Undirected
42825;32753;Dazed and Confused;Undirected
42825;34232;Dazed and Confused;Undirected
42825;34298;Dazed and Confused;Undirected
42825;30536;Dazed and Confused;Undirected
42825;30535;Dazed and Confused;Undirected
42825;34862;Dazed and Confused;Undirected
42825;32905;Dazed and Confused;Undirected
42825;35748;Dazed and Confused;Undirected
42825;39876;Dazed and Confused;Undirected
42825;33631;Dazed and Confused;Undirected
37414;45171;Dazed and Confused;Undirected
37414;37831;Dazed and Confused;Undirected
37414;39831;Dazed and Confused;Undirected
37414;32753;Dazed and Confused;Undirected
37414;34232;Dazed and Confused;Undirected
37414;34298;Dazed and Confused;Undirected
37414;30536;Dazed and Confused;Undirected
37414;30535;Dazed and Confused;Undirected
37414;34862;Dazed and Confused;Undirected
37414;32905;Dazed and Confused;Undirected
37414;35748;Dazed and Confused;Undirected
37414;39876;Dazed and Confused;Undirected
37414;33631;Dazed and Confused;Undirected
45171;37831;Dazed and Confused;Undirected
45171;39831;Dazed and Confused;Undirected
45171;32753;Dazed and Confused;Undirected
45171;34232;Dazed and Confused;Undirected
45171;34298;Dazed and Confused;Undirected
45171;30536;Dazed and Confused;Undirected
45171;30535;Dazed and Confused;Undirected
45171;34862;Dazed and Confused;Undirected
45171;32905;Dazed and Confused;Undirected
45171;35748;Dazed and Confused;Undirected
45171;39876;Dazed and Confused;Undirected
45171;33631;Dazed and Confused;Undirected
37831;39831;Dazed and Confused;Undirected
37831;32753;Dazed and Confused;Undirected
37831;34232;Dazed and Confused;Undirected
37831;34298;Dazed and Confused;Undirected
37831;30536;Dazed and Confused;Undirected
37831;30535;Dazed and Confused;Undirected
37831;34862;Dazed and Confused;Undirected
37831;32905;Dazed and Confused;Undirected
37831;35748;Dazed and Confused;Undirected
37831;39876;Dazed and Confused;Undirected
37831;33631;Dazed and Confused;Undirected
39831;32753;Dazed and Confused;Undirected
39831;34232;Dazed and Confused;Undirected
39831;34298;Dazed and Confused;Undirected
39831;30536;Dazed and Confused;Undirected
39831;30535;Dazed and Confused;Undirected
39831;34862;Dazed and Confused;Undirected
39831;32905;Dazed and Confused;Undirected
39831;35748;Dazed and Confused;Undirected
39831;39876;Dazed and Confused;Undirected
39831;33631;Dazed and Confused;Undirected
32753;34232;Dazed and Confused;Undirected
32753;34298;Dazed and Confused;Undirected
32753;30536;Dazed and Confused;Undirected
32753;30535;Dazed and Confused;Undirected
32753;34862;Dazed and Confused;Undirected
32753;32905;Dazed and Confused;Undirected
32753;35748;Dazed and Confused;Undirected
32753;39876;Dazed and Confused;Undirected
32753;33631;Dazed and Confused;Undirected
34232;34298;Dazed and Confused;Undirected
34232;30536;Dazed and Confused;Undirected
34232;30535;Dazed and Confused;Undirected
34232;34862;Dazed and Confused;Undirected
34232;32905;Dazed and Confused;Undirected
34232;35748;Dazed and Confused;Undirected
34232;39876;Dazed and Confused;Undirected
34232;33631;Dazed and Confused;Undirected
34298;30536;Dazed and Confused;Undirected
34298;30535;Dazed and Confused;Undirected
34298;34862;Dazed and Confused;Undirected
34298;32905;Dazed and Confused;Undirected
34298;35748;Dazed and Confused;Undirected
34298;39876;Dazed and Confused;Undirected
34298;33631;Dazed and Confused;Undirected
30536;30535;Dazed and Confused;Undirected
30536;34862;Dazed and Confused;Undirected
30536;32905;Dazed and Confused;Undirected
30536;35748;Dazed and Confused;Undirected
30536;39876;Dazed and Confused;Undirected
30536;33631;Dazed and Confused;Undirected
30535;34862;Dazed and Confused;Undirected
30535;32905;Dazed and Confused;Undirected
30535;35748;Dazed and Confused;Undirected
30535;39876;Dazed and Confused;Undirected
30535;33631;Dazed and Confused;Undirected
34862;32905;Dazed and Confused;Undirected
34862;35748;Dazed and Confused;Undirected
34862;39876;Dazed and Confused;Undirected
34862;33631;Dazed and Confused;Undirected
32905;35748;Dazed and Confused;Undirected
32905;39876;Dazed and Confused;Undirected
32905;33631;Dazed and Confused;Undirected
35748;39876;Dazed and Confused;Undirected
35748;33631;Dazed and Confused;Undirected
39876;33631;Dazed and Confused;Undirected
33110;33839;Serenity;Undirected
33110;34164;Serenity;Undirected
33110;32999;Serenity;Undirected
33110;34154;Serenity;Undirected
33110;33872;Serenity;Undirected
33110;31486;Serenity;Undirected
33110;37594;Serenity;Undirected
33110;33659;Serenity;Undirected
33110;36945;Serenity;Undirected
33110;34165;Serenity;Undirected
33839;34164;Serenity;Undirected
33839;32999;Serenity;Undirected
33839;34154;Serenity;Undirected
33839;33872;Serenity;Undirected
33839;31486;Serenity;Undirected
33839;37594;Serenity;Undirected
33839;33659;Serenity;Undirected
33839;36945;Serenity;Undirected
33839;34165;Serenity;Undirected
34164;32999;Serenity;Undirected
34164;34154;Serenity;Undirected
34164;33872;Serenity;Undirected
34164;31486;Serenity;Undirected
34164;37594;Serenity;Undirected
34164;33659;Serenity;Undirected
34164;36945;Serenity;Undirected
34164;34165;Serenity;Undirected
32999;34154;Serenity;Undirected
32999;33872;Serenity;Undirected
32999;31486;Serenity;Undirected
32999;37594;Serenity;Undirected
32999;33659;Serenity;Undirected
32999;36945;Serenity;Undirected
32999;34165;Serenity;Undirected
34154;33872;Serenity;Undirected
34154;31486;Serenity;Undirected
34154;37594;Serenity;Undirected
34154;33659;Serenity;Undirected
34154;36945;Serenity;Undirected
34154;34165;Serenity;Undirected
33872;31486;Serenity;Undirected
33872;37594;Serenity;Undirected
33872;33659;Serenity;Undirected
33872;36945;Serenity;Undirected
33872;34165;Serenity;Undirected
31486;37594;Serenity;Undirected
31486;33659;Serenity;Undirected
31486;36945;Serenity;Undirected
31486;34165;Serenity;Undirected
37594;33659;Serenity;Undirected
37594;36945;Serenity;Undirected
37594;34165;Serenity;Undirected
33659;36945;Serenity;Undirected
33659;34165;Serenity;Undirected
36945;34165;Serenity;Undirected
32609;30559;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
32609;41312;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
32609;29581;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
32609;29767;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
32609;29466;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
32609;31896;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
32609;29454;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
32609;30000;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
32609;30061;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
32609;30485;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
32609;29437;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30559;41312;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30559;29581;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30559;29767;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30559;29466;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30559;31896;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30559;29454;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30559;30000;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30559;30061;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30559;30485;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30559;29437;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
41312;29581;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
41312;29767;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
41312;29466;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
41312;31896;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
41312;29454;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
41312;30000;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
41312;30061;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
41312;30485;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
41312;29437;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29581;29767;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29581;29466;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29581;31896;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29581;29454;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29581;30000;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29581;30061;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29581;30485;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29581;29437;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29767;29466;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29767;31896;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29767;29454;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29767;30000;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29767;30061;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29767;30485;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29767;29437;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29466;31896;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29466;29454;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29466;30000;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29466;30061;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29466;30485;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29466;29437;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
31896;29454;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
31896;30000;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
31896;30061;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
31896;30485;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
31896;29437;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29454;30000;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29454;30061;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29454;30485;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
29454;29437;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30000;30061;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30000;30485;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30000;29437;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30061;30485;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30061;29437;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
30485;29437;Hearts of Darkness: A Filmmakers's Apocalypse;Undirected
31246;30597;Afterglow;Undirected
31246;30096;Afterglow;Undirected
30597;30096;Afterglow;Undirected
36899;30951;Glory;Undirected
36899;30207;Glory;Undirected
36899;34132;Glory;Undirected
36899;40316;Glory;Undirected
36899;29588;Glory;Undirected
36899;29411;Glory;Undirected
30951;30207;Glory;Undirected
30951;34132;Glory;Undirected
30951;40316;Glory;Undirected
30951;29588;Glory;Undirected
30951;29411;Glory;Undirected
30207;34132;Glory;Undirected
30207;40316;Glory;Undirected
30207;29588;Glory;Undirected
30207;29411;Glory;Undirected
34132;40316;Glory;Undirected
34132;29588;Glory;Undirected
34132;29411;Glory;Undirected
40316;29588;Glory;Undirected
40316;29411;Glory;Undirected
29588;29411;Glory;Undirected
34077;30546;Heaven;Undirected
29471;30892;The Poseidon Adventure;Undirected
29471;35492;The Poseidon Adventure;Undirected
29471;31201;The Poseidon Adventure;Undirected
29471;11285;The Poseidon Adventure;Undirected
29471;30562;The Poseidon Adventure;Undirected
29471;426;The Poseidon Adventure;Undirected
29471;30003;The Poseidon Adventure;Undirected
29471;37725;The Poseidon Adventure;Undirected
29471;29880;The Poseidon Adventure;Undirected
29471;33311;The Poseidon Adventure;Undirected
29471;30606;The Poseidon Adventure;Undirected
30892;35492;The Poseidon Adventure;Undirected
30892;31201;The Poseidon Adventure;Undirected
30892;11285;The Poseidon Adventure;Undirected
30892;30562;The Poseidon Adventure;Undirected
30892;426;The Poseidon Adventure;Undirected
30892;30003;The Poseidon Adventure;Undirected
30892;37725;The Poseidon Adventure;Undirected
30892;29880;The Poseidon Adventure;Undirected
30892;33311;The Poseidon Adventure;Undirected
