id;Label;
12030;Berenice Bejo;
12031;Scott Handy;
12032;Leagh Conwell;
12033;Steve OâDonnell;
12034;Jonathan Slinger;
12035;Karel Dobry;
12036;Mathew Mills;
12037;Daniel Rous;
12038;Vladimir Kulhavy;
12039;David Schneider;
12040;Rudolf Kubik;
12041;David Fisher;
12042;David Sterne;
12043;Alice Vese;
12044;Howie Lotker;
12046;Candy Brown Houston;
12047;A.J. Johnson;
12048;Kareem Grimes;
12049;Tracey Cherelle Jones;
1205;Chris Williams;
12050;Kylan Bolton;
12051;Kaylan Bolton;
12052;Freez Luv;
12053;Juanita Jennings;
12054;Liris Crosse;
12055;Mario William Jackson;
12057;Selma Mcpherson;
12058;Asondra Hunter;
12059;Tawny Dahl;
12060;Alex Wright;
12061;Serese Teate;
12062;Olan Thompson;
12063;Dejuan Guy;
12064;Deon Gregory;
12065;Roma Alvarez;
12066;Limary Agosto;
12067;Amentha Dymally;
12068;Cleopatra Singleton;
12069;Sheila L. Ward;
12070;Jamaica Carter;
12071;Frederick Ricks;
12072;Tamara LaSeon Bass;
12084;Oscar Beregi Sr.;
12090;Don Dubbins;
12096;Tammany Young;
12128;Boyd Irwin;
1214;Jane Jensen;
1215;Clifton Collins; Jr.
1217;Eric Johnson;
1219;Christopher Jones;
1226;GQ;
123;Mary McLeod Bethune;
1231;Rufus;
124;Paul Williams;
1243;Gabriel Mann;
1245;Josh Hamilton;
125;Brad Davis;
1251;Pete Kaplan;
1253;Tom Kennedy;
1254;Richard Ward;
1255;Milton GonÃ§alves;
1263;David Wood;
1267;Irma P. Hall;
127;Sebastian Cabot;
1275;Brian Thompson;
1279;Tommy Flanagan;
128;Sebastian Shaw;
1288;Jack Watson;
1289;Danny Webb;
1290;Michael Bowen;
1292;David O'Brien;
1295;John Boles;
1299;John Westbrook;
130;Keiko;
1301;Vernon Wells;
1304;Douglas Smith;
1312;Kristen Wilson;
1315;Chris Young;
132;D. B. Sweeney;
1321;Timothy E. Day;
1328;Trever O'Brien;
1338;John Loder;
1343;"Lynn ""Red"" Williams";
1348;Ewa FrÃ¶ling;
1358;Jordan;
137;Catherine O'Hara;
138;Ben Johnson;
1380;John Winston;
1390;Michael G. Hagerty;
1392;Scott Wilson;
14;Frank Miller;
140;Michael O'Hare;
1416;J. Mack Slaughter; Jr.
142;Arata;
1427;IvÃ¡n Petrovich;
143;Jack Thompson;
1437;Robert A. Silverman;
1443;GÃ¶sta Ekman;
1451;Dong Jie;
147;Merian C. Cooper;
1489;Daniel Richter;
149;John Saxon;
150;Tatum O'Neal;
152;John Randolph;
1529;Suzanne Shepherd;
154;Michael Wilding;
1545;Joji Yanami;
1546;Thorsten Flinck;
1547;BjÃ¶rn Almroth;
1548;Goran Marjanovic;
155;Peter Graves;
1558;Paloma Baeza;
157;Sanjeev Kumar;
158;Matthew Fox;
16;David Byrne;
161;Steve Harris;
1612;Koichi Ueda;
162;Robert Preston;
1630;Fred Draper;
1636;Hideji Otaki;
164;D. L. Hughley;
1652;Daniel Faraldo;
166;Michael York;
1660;Maynard Eziashi;
169;Daniel Stern;
1694;Sergei Stolyarov;
17;Sting;
1709;Erika Oda;
1710;Takashi Naito;
1711;Kei Tani;
172;Mako;
173;Michael J. Anderson;
176;Ja'net Du Bois;
18;Leslie Howard;
180;Chris O'Donnell;
1801;KristÃ½na KohoutovÃ¡;
1802;Larry Grey;
1803;Queenie Leonard;
1804;Dink Trout;
181;Charles Lane;
182;L. M. Kit Carson;
1831;Raymond Cruz;
184;John C. Reilly;
1844;Eisei Amamoto;
185;Tony Martin;
1853;John Halsey;
186;Richard Deacon;
189;Chris Cooper;
190;William Smith;
1928;Erica Yohn;
193;William Forsythe;
1940;Keiji Sada;
195;Vivica A. Fox;
197;Dave Thomas;
199;Anne Hathaway;
2002;Shamili;
2003;Tarun;
2004;Shruthi;
202;Alan King;
203;Leon Ames;
205;John Waters;
206;John Waters;
2088;Sachin Khedekar;
209;Charles Napier;
2090;Smita Jaykar;
210;A. J. Cook;
2116;Jun Tazaki;
2130;Dariusz Biskupski;
2138;Mary Stein;
2139;Danny Mann;
2142;Birgitte Federspiel;
2143;Bodil Kjer;
2148;Adam Robert Worton;
2149;Jacob Joseph Worton;
215;William S. Hart;
216;Bill Graham;
217;William B. Davis;
2173;Nicholas Bell;
218;Jonathan Jackson;
2182;Juliette Brewer;
2183;Sandra Dickenson;
219;Austin O'Brien;
2198;Natividad Abascal;
2199;David Ortiz AnglerÃ³;
220;Paul L. Smith;
2200;Luis Antonio Cosme;
2213;Leonard Earl Howze;
2214;Taylor Nichols;
2215;Ryu Horikawa;
2216;Yukitoshi Hori;
2217;Takeshi Watade;
222;Michael Oliver;
2251;Ivor Barnard;
2252;Marco Tulli;
2255;Josette Day;
2257;Tom Everett;
2258;Hiroko Berghauer;
226;A. J. Langer;
2273;Sarah Rose Karr;
2277;Vladimir Mashkov;
2280;Othon Bastos;
2287;Jeffrey Donovan;
2289;GeneviÃ¨ve Page;
2295;Haya Harareet;
230;Terry O'Quinn;
231;Beverly D'Angelo;
2320;Jason Barry;
233;J. Pat O'Malley;
2331;George Voya;
234;Robert Montgomery;
237;Jason Lee;
238;J. T. Walsh;
239;Samuel E. Wright;
2391;Charles Paton;
2394;Charles Macaulay;
24;Vanessa L. Williams;
241;Guillermo DÃ­az;
2434;David Argue;
2435;John Ley;
2436;Angelo D'Angelo;
244;Francis X. Bushman;
2446;Marisa Solinas;
2447;Mercedes Gilbert;
2448;Julia Theresa Russell;
2449;Hazel Brooks;
2450;Tesso Genda;
2455;Tinnu Anand;
246;Ron O'Neal;
2462;Anne Grey;
2469;Tristine Skyler;
247;Olivia d'Abo;
2477;Shanti Das;
2478;Puja Mukerjee;
2479;Avijit;
2480;Suchitra;
2488;Pedro Cardoso;
2497;Robert Musgrave;
25;Graham Greene;
2506;Diana PeÃ±alver;
2507;Elizabeth Moody;
2508;Ian Watkin;
2512;Jo Shishido;
2513;Mariko Ogawa;
2514;Annu Mari;
2515;Josie Ayers;
2516;Russell Copley;
2517;Raymond Sawyer;
2518;Anthony Story;
2519;Jemma Davies;
2535;Matthew A. Brown;
2536;Carrie Morgan;
2537;Jongiorgi Enos;
2538;Tayva Patch;
2539;Charles Sellon;
2548;Walter Connolly;
2553;Matt McGrath;
2554;Billy Porter;
2555;Ben Weber;
2556;Robert Arce;
2557;Chris Payne Gilbert;
2558;Nora Burns;
2559;John Brandon;
2560;Diane McBain;
2561;Robert Peters;
2562;Ken Kerman;
2563;Charlie Weber;
2564;David Youse;
257;Ed O'Neill;
258;Thomas Mitchell;
260;Stephen Moore;
261;William Boyd;
262;James Dunn;
263;Edmond O'Brien;
2638;Christopher Curry;
264;Maurice Evans;
2645;Helen Vita;
266;John Schneider;
2666;Lorraine Ashbourne;
267;Margaret O'Brien;
2677;Darrow Ignus;
2678;James Sprinks;
2679;Eric Walker;
2692;Noelle Middleton;
270;John Savage;
2704;Keiko Yokozawa;
2705;Minori Terada;
271;Hans Moser;
2712;Dominique Labourier;
2713;Juliet Berto;
2714;Matheus Nachtergaele;
2715;MarÃ­lia PÃªra;
2726;Jonathan Maxwell Reeves;
2727;Fedja van HuÃªt;
2739;Richard Marcus;
275;John Glover;
2756;Dan Molina;
2757;Season Elmore;
276;George Bancroft;
2769;Jamie RenÃ©e Smith;
278;Don Murray;
2781;Nijel;
2807;Claire DuBrey;
2808;Rhoda Williams;
281;Marsha Hunt;
2817;Vladimir Volodin;
2818;Pavel Massalsky;
2825;Alexandre Rodrigues;
2826;Leandro Firmino;
2828;Jonathan Haagensen;
284;Michael Gross;
2840;Janelle Brady;
2864;Phyllis Boyens;
2868;Edgar Barrier;
287;Hal Smith;
2874;Alex Descas;
288;John Reynolds;
2885;Leonid Rostoff;
2886;Willard Sage;
2888;Linda Bassett;
2889;Sudie Bond;
2899;Gary Cervantes;
2900;Charles Meshack;
2908;Giorgia Moll;
2910;Joe Keaton;
29365;Alfred Hitchcock;
29367;Alfonso Arau;
29369;Arnold Schwarzenegger;
29371;Amitabh Bachchan;
29374;Anthony Hopkins;
29375;AndrÃ© the Giant;
29380;Albert Brooks;
29383;Bill Clinton;
29384;Britney Spears;
29385;BjÃ¶rn Ulvaeus;
29386;Benny Andersson;
29388;Bud Spencer;
29389;Brigitte Bardot;
29391;Blythe Danner;
29395;Billy Bob Thornton;
29396;Burt Lancaster;
29398;Billy Crystal;
29399;Bruce Campbell;
29404;BÃ©la Lugosi;
29405;Charlize Theron;
29406;Carmen Electra;
29407;Charlie Chaplin;
29408;Chuck D;
29410;Caitlin Clarke;
29411;Cary Elwes;
29412;Chris Sarandon;
29413;Christopher Guest;
29414;Carol Kane;
29418;Clarence Johnson;
29420;Drew Barrymore;
29425;Doris Day;
29426;David Letterman;
29427;Delroy Lindo;
29428;David Janssen;
29430;Dwight Schultz;
29437;Dennis Hopper;
29438;Denis Leary;
29439;David A. Huffman;
29440;Danny Kaye;
29442;Dolores Fuller;
29443;Elvis Presley;
29448;Eric Clapton;
29449;Eve Arden;
29451;Eli Wallach;
29453;Ed Wood; Jr.
29454;Francis Ford Coppola;
29456;FranÃ§ois Truffaut;
29458;Fay Wray;
29459;Frank Sinatra;
29462;Fred Savage;
29463;Fritz Lang;
29466;George Lucas;
29468;Gene Kelly;
29470;George Peppard;
29471;Gene Hackman;
29472;George Harrison;
29473;Gavin MacLeod;
29476;Graham Chapman;
29477;Gary Busey;
29480;Halle Berry;
29483;Henry Rollins;
29486;Humphrey Bogart;
29489;Harry Shearer;
29490;Izabella Scorupco;
29492;Ice T;
29494;Ian McKellen;
29495;Joshua Jackson;
