Id;Label
1255;Matilda
1256;Night Watch
1257;Dr. T & the Women
1258;23
1259;Vision Quest
126;Clue
1260;Gross Anatomy
1261;The Jungle Book
1262;The Preacher's Wife
1263;The Damned
1264;Zapata: El sueÃ±o de un hÃ©roe
1265;Enemy of the State
1266;Bedazzled
1267;The Last Tycoon
1268;It
1269;Major League
127;Above the Law
1270;Wolf
1271;54
1272;What Dreams May Come
1273;Species
1274;Election
1275;The Hunted
1276;Bad Girls
1277;Rio Grande
1278;Alone in the Dark
1279;Carlito's Way
128;Under Siege 2: Dark Territory
1280;Jack
1281;The Vanishing
1282;Head
1283;Dave
1284;Beloved
1285;Firefox
1286;Zvezda
1287;The Dukes of Hazzard
1288;Knock Knock
1289;25th Hour
129;Ticker
1290;Casino
1291;The Frontier
1292;The City
1293;The Trip
1294;Dead Calm
1295;Casper
1296;Red Dragon
1297;Marfa Lights
1298;National Treasure
1299;John Carpenter's Escape from L.A.
13;Glen or Glenda?
130;Strategic Air Command
1300;Fluke
1301;Rob Roy
1302;Free Willy 2: The Adventure Home
1303;Monster's Ball
1304;Mighty Morphin' Power Rangers: The Movie
1305;Anaconda
1306;Speakeasy
1307;Spirit: Stallion of the Cimarron
1308;The Truth About Cats & Dogs
1309;Jeans
131;The Caine Mutiny
1310;Tales from the Crypt presents: Demon Knight
1311;Saved!
1312;Wing Commander
1313;Snatch
1314;Blue Streak
1315;The Stepford Wives
1316;Around the World in 80 Days
1317;Dodgeball: A True Underdog Story
1318;Anchorman: The Legend of Ron Burgundy
1319;King Arthur
132;Adam's Rib
1320;The Adventures of Pinocchio
1321;Lucas
1322;Square Dance
1323;Quadrophenia
1324;Zenon: Girl of the 21st Century
1325;Dynasty: The Reunion
1326;Star Wars: Shadows of the Empire
1327;Mission: Impossible
1328;Control Room
1329;Circus
133;Chinatown
1330;Sleepers
1331;The Exorcist
1332;Young Adam
1333;Dick Tracy
1334;The Jungle Book
1335;When a Man Loves a Woman
1336;Pets or Meat: The Return to Flint
1337;Scooby-Doo 2: Monsters Unleashed
1338;Soldier
1339;National Lampoon's Last Resort
134;Badlands
1340;Behind Enemy Lines
1341;The Princess Diaries 2: Royal Engagement
1342;Posse
1343;Outbreak
1344;More
1345;Agent Cody Banks 2: Destination London
1346;Dr. Dolittle 2
1347;Multiplicity
1348;Short Circuit
1349;1969
135;The Jazz Singer
1350;Welcome Home, Roxy Carmichael
1351;Dumb & Dumber
1352;Blind Date
1353;The Village
1354;Scandal
1355;Peter Pan
1356;En malas compaÃ±Ã­as
1357;Boys Town
1359;Over the Edge
136;Bonnie and Clyde
1360;Scenes from a Marriage
1361;James and the Giant Peach
1362;Die WeiÃe Rose
1363;Amazing Stories
1364;Cliffhanger
1365;Hair
1366;Spring, Summer, Fall, Winter... and Spring
1367;Getting Any?
1368;Brother
137;The General
1370;Homerun
1371;The Dead
1372;Josie and the Pussycats
1373;Bishonen
1374;Mo' Better Blues
1375;Jabberwocky
1376;Phenomenon
1377;Camille Claudel
1378;Dog Park
1379;Bulldog Drummond
138;Jurassic Park
1380;Bulldog Drummond's Third Round
1381;The Witness
1382;Head of State
1383;L'Appartement
1384;The Courtship of Eddie's Father
1385;Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean
1386;Bring It On
1387;The Baby-Sitters Club
1388;Alice in Wonderland
1389;Country
139;McCabe & Mrs. Miller
1390;Sweet Dreams
